CMDLINE python3 ../src/time_test.py -m CS -f ../examples/little_prog_bad_100000.rlang -t 1
MEM 2.031250 1604853019.2318
MEM 12.402344 1604853019.3321
MEM 15.234375 1604853019.4324
MEM 15.234375 1604853019.5327
MEM 15.234375 1604853019.6330
MEM 15.234375 1604853019.7333
MEM 18.730469 1604853019.8337
MEM 18.730469 1604853019.9340
MEM 18.730469 1604853020.0344
MEM 18.980469 1604853020.1348
MEM 18.980469 1604853020.2351
MEM 19.230469 1604853020.3355
MEM 19.230469 1604853020.4359
MEM 19.480469 1604853020.5362
MEM 19.480469 1604853020.6366
MEM 19.480469 1604853020.7370
MEM 19.730469 1604853020.8373
MEM 19.730469 1604853020.9377
MEM 19.980469 1604853021.0380
MEM 19.980469 1604853021.1383
MEM 20.230469 1604853021.2387
MEM 20.230469 1604853021.3390
MEM 20.480469 1604853021.4393
MEM 20.480469 1604853021.5397
MEM 20.730469 1604853021.6400
MEM 20.730469 1604853021.7403
MEM 20.980469 1604853021.8405
MEM 20.980469 1604853021.9408
MEM 21.230469 1604853022.0411
MEM 21.230469 1604853022.1413
MEM 21.480469 1604853022.2416
MEM 21.480469 1604853022.3420
MEM 21.730469 1604853022.4423
MEM 21.730469 1604853022.5426
MEM 21.980469 1604853022.6429
MEM 21.980469 1604853022.7432
MEM 22.230469 1604853022.8435
MEM 22.230469 1604853022.9438
MEM 22.480469 1604853023.0440
MEM 22.730469 1604853023.1443
MEM 22.730469 1604853023.2446
MEM 22.980469 1604853023.3449
MEM 22.980469 1604853023.4452
MEM 23.230469 1604853023.5454
MEM 23.230469 1604853023.6458
MEM 23.480469 1604853023.7460
MEM 23.480469 1604853023.8463
MEM 23.730469 1604853023.9466
MEM 23.730469 1604853024.0468
MEM 24.015625 1604853024.1471
MEM 24.015625 1604853024.2474
MEM 24.296875 1604853024.3479
MEM 24.296875 1604853024.4482
MEM 24.578125 1604853024.5485
MEM 24.578125 1604853024.6489
MEM 24.859375 1604853024.7492
MEM 18.878906 1604853024.8495
MEM 18.878906 1604853024.9498
MEM 19.128906 1604853025.0501
MEM 19.128906 1604853025.1504
MEM 19.378906 1604853025.2507
MEM 19.378906 1604853025.3510
MEM 19.628906 1604853025.4513
MEM 19.628906 1604853025.5516
MEM 19.878906 1604853025.6519
MEM 19.878906 1604853025.7522
MEM 20.128906 1604853025.8524
MEM 20.128906 1604853025.9527
MEM 20.378906 1604853026.0529
MEM 20.628906 1604853026.1532
MEM 20.628906 1604853026.2536
MEM 20.878906 1604853026.3539
MEM 20.878906 1604853026.4542
MEM 21.128906 1604853026.5545
MEM 21.128906 1604853026.6548
MEM 21.378906 1604853026.7551
MEM 21.378906 1604853026.8554
MEM 21.628906 1604853026.9557
MEM 21.628906 1604853027.0559
MEM 21.878906 1604853027.1562
MEM 21.878906 1604853027.2565
MEM 22.128906 1604853027.3568
MEM 22.128906 1604853027.4571
MEM 22.378906 1604853027.5574
MEM 22.378906 1604853027.6577
MEM 22.628906 1604853027.7580
MEM 22.628906 1604853027.8582
MEM 22.878906 1604853027.9585
MEM 23.128906 1604853028.0587
MEM 23.128906 1604853028.1590
MEM 23.378906 1604853028.2593
MEM 23.378906 1604853028.3597
MEM 23.628906 1604853028.4600
MEM 23.628906 1604853028.5602
MEM 23.878906 1604853028.6606
MEM 23.878906 1604853028.7609
MEM 24.128906 1604853028.8612
MEM 24.128906 1604853028.9614
MEM 24.378906 1604853029.0617
MEM 24.378906 1604853029.1620
MEM 24.628906 1604853029.2623
MEM 24.628906 1604853029.3626
MEM 24.878906 1604853029.4630
