CMDLINE python3 ../src/main.py -m CS -f ../examples/little_prog_bad_100000.rlang
MEM 0.972656 1603376676.8061
MEM 12.320312 1603376676.9065
MEM 15.078125 1603376677.0067
MEM 15.078125 1603376677.1070
MEM 15.078125 1603376677.2073
MEM 13.527344 1603376677.3076
MEM 18.457031 1603376677.4079
MEM 18.457031 1603376677.5082
MEM 18.707031 1603376677.6085
MEM 18.707031 1603376677.7088
MEM 18.957031 1603376677.8091
MEM 18.957031 1603376677.9094
MEM 19.207031 1603376678.0097
MEM 19.207031 1603376678.1099
MEM 19.457031 1603376678.2103
MEM 19.457031 1603376678.3106
MEM 19.457031 1603376678.4110
MEM 19.707031 1603376678.5114
MEM 19.707031 1603376678.6118
MEM 19.707031 1603376678.7121
MEM 19.957031 1603376678.8125
MEM 19.957031 1603376678.9128
MEM 20.207031 1603376679.0130
MEM 20.207031 1603376679.1133
MEM 20.457031 1603376679.2136
MEM 20.457031 1603376679.3139
MEM 20.707031 1603376679.4142
MEM 20.707031 1603376679.5144
MEM 20.957031 1603376679.6147
MEM 20.957031 1603376679.7149
MEM 21.207031 1603376679.8153
MEM 21.207031 1603376679.9155
MEM 21.457031 1603376680.0158
MEM 21.707031 1603376680.1161
MEM 21.707031 1603376680.2164
MEM 21.957031 1603376680.3166
MEM 21.957031 1603376680.4169
MEM 22.207031 1603376680.5171
MEM 22.207031 1603376680.6174
MEM 22.457031 1603376680.7177
MEM 22.457031 1603376680.8180
MEM 22.707031 1603376680.9183
MEM 22.707031 1603376681.0186
MEM 22.957031 1603376681.1189
MEM 22.957031 1603376681.2192
MEM 23.207031 1603376681.3195
MEM 23.207031 1603376681.4197
MEM 23.457031 1603376681.5200
MEM 23.746094 1603376681.6203
MEM 23.746094 1603376681.7206
MEM 24.027344 1603376681.8209
MEM 24.027344 1603376681.9212
MEM 24.304688 1603376682.0215
MEM 24.304688 1603376682.1217
MEM 24.585938 1603376682.2220
MEM 18.605469 1603376682.3224
MEM 18.605469 1603376682.4226
MEM 18.605469 1603376682.5229
MEM 18.855469 1603376682.6231
MEM 19.105469 1603376682.7235
MEM 19.105469 1603376682.8239
MEM 19.355469 1603376682.9241
MEM 19.355469 1603376683.0244
MEM 19.605469 1603376683.1246
MEM 19.605469 1603376683.2249
MEM 19.855469 1603376683.3252
MEM 19.855469 1603376683.4254
MEM 20.105469 1603376683.5257
MEM 20.105469 1603376683.6259
MEM 20.355469 1603376683.7262
MEM 20.355469 1603376683.8265
MEM 20.605469 1603376683.9268
MEM 20.605469 1603376684.0271
MEM 20.855469 1603376684.1273
MEM 21.105469 1603376684.2276
MEM 21.105469 1603376684.3279
MEM 21.355469 1603376684.4281
MEM 21.355469 1603376684.5283
MEM 21.605469 1603376684.6286
MEM 21.605469 1603376684.7289
MEM 21.855469 1603376684.8292
MEM 21.855469 1603376684.9295
MEM 22.105469 1603376685.0297
MEM 22.105469 1603376685.1300
MEM 22.355469 1603376685.2303
MEM 22.355469 1603376685.3305
MEM 22.605469 1603376685.4308
MEM 22.855469 1603376685.5310
MEM 22.855469 1603376685.6313
MEM 23.105469 1603376685.7315
MEM 23.105469 1603376685.8319
MEM 23.355469 1603376685.9321
MEM 23.355469 1603376686.0323
MEM 23.605469 1603376686.1326
MEM 23.605469 1603376686.2329
MEM 23.855469 1603376686.3331
MEM 23.855469 1603376686.4334
MEM 24.105469 1603376686.5336
MEM 24.105469 1603376686.6339
MEM 24.355469 1603376686.7342
MEM 24.355469 1603376686.8346
MEM 24.605469 1603376686.9349
MEM 24.605469 1603376687.0354
