,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072
mean,714.0,668.0,748.0,953.0,1433.0,2259.0,3554.0,6310.0,12176.0,23754.0,46762.0,94271.0,185230.0,373745.0,732819.0,1487193.0,3000317.0,5992934.0
stdev,243.0,243.0,297.0,370.0,577.0,872.0,773.0,1243.0,2407.0,4606.0,9082.0,18815.0,36032.0,73246.0,137660.0,293869.0,573482.0,1143464.0
interval_low,597.0,550.0,605.0,774.0,1154.0,1838.0,3169.0,5674.0,10947.0,21384.0,42091.0,84697.0,166714.0,336224.0,660610.0,1337135.0,2703077.0,5399674.0
interval_up,832.0,786.0,891.0,1131.0,1712.0,2679.0,3931.0,6924.0,13363.0,26034.0,51256.0,103535.0,203055.0,409927.0,801585.0,1632138.0,3285179.0,6561188.0
