,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,3651,668,769,1321,2241,3293,4518,4836,9303,19462,39440,96436,191424,526920,1578586,5949050,33540811,187206064
1,16646,341,308,438,675,1183,2220,4343,12262,17895,37364,81166,205890,506011,1573414,5818428,33513736,182328426
